IDCNTRY,IDBOOK,IDSCHOOL,IDCLASS,IDSTUD,ME62271,ME62152,ME62215,ME62143,ME62230,ME62095,ME62076,ME62030,ME62171,ME62301,ME62194,ME62344,ME62320,ME62296,ME62271_S,ME62152_S,ME62215_S,ME62143_S,ME62230_S,ME62095_S,ME62076_S,ME62030_S,ME62171_S,ME62301_S,ME62194_S,ME62344_S,ME62320_S,ME62296_S,BSBG01,BSBGHER,BSBGSSB,BSBGSB,BSBGSLM,BSBGICM,BSBGDML,BSBGSCM,BSBGSVM,BSBGSEC,BSBG01_Z,BSBGHER_Z,BSBGSSB_Z,BSBGSB_Z,BSBGSLM_Z,BSBGICM_Z,BSBGDML_Z,BSBGSCM_Z,BSBGSVM_Z,BSBGSEC_Z
158,11,5057,505706,50570612,1,1,1,0,1,1,1,1,1,1,1,1,1,1,36.857,55.226,154.744,60.967,53.773,39.624,23.801,44.518,15.162,72.419,47.168,61.223,91.405,82.809,2,8.99877,6.36071,12.93734,7.95043,9.52219,9.99445,9.6723,8.12441,7.28369,1,-0.852315126,-1.677448786,1.062742058,-0.695157608,-0.130791975,-0.269750624,0.223521786,-0.055138395,-0.611844078
158,10,5057,505706,50570627,1,1,1,1,0,1,1,1,1,0,1,1,1,1,9.449,34.955,62.265,33.213,13.868,55.648,13.118,29.393,20.881,40.134,29.958,34.322,40.994,47.279,2,13.51543,5.90263,11.18784,7.95043,13.01885,9.99445,10.59469,7.91135,7.68313,1,1.957320822,-1.944202519,0.103781045,-0.695157608,1.636317524,-0.269750624,0.62211325,-0.170068095,-0.411853714
158,10,5058,505805,50580507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.008,45.538,100.353,20.52,46.077,22.952,13.071,40.465,20.784,75.736,41.514,17.717,36.984,66.639,1,11.19079,11.62252,12.93734,8.94763,8.24029,8.95449,8.99736,7.50425,12.56518,0,0.511254014,1.386661104,1.062742058,-0.148152125,-0.778626671,-0.774046222,-0.068139359,-0.389667648,2.032475748
158,11,5058,505805,50580508,0,1,1,1,1,1,1,0,1,1,1,1,1,0,32.591,77.295,124.996,154.477,24.784,40.171,24.817,32.328,38.694,72.235,100.107,136.971,61.165,70.153,1,11.19079,11.62252,12.93734,9.31385,8.51896,8.95449,8.76168,8.12441,9.52551,0,0.511254014,1.386661104,1.062742058,0.052734706,-0.637795019,-0.774046222,-0.16998352,-0.055138395,0.510583319
158,10,5058,505805,50580523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.296,60.32,153.464,76.944,61.504,16.232,17.792,24.256,24.68,64.201,33.312,60.327,56.225,118.12,2,9.64761,10.00496,9.05015,8.94763,8.82274,10.31153,13.19086,7.30474,8.52147,1,-0.448697366,0.444707367,-1.067960234,-0.148152125,-0.484273509,-0.115992741,1.743993586,-0.497288151,0.007883725
158,11,5058,505805,50580524,1,1,1,0,1,1,1,1,1,0,1,0,1,0,19.932,31.672,73.409,27.7,7.379,22.245,17.153,35.022,12.872,51.809,30.652,28.543,32.549,45.151,2,13.51543,8.08091,12.93734,8.16805,7.98224,5.56633,6.95612,6.90631,9.52551,1,1.957320822,-0.675724696,1.062742058,-0.575784029,-0.909037579,-2.417026885,-0.95021835,-0.712210896,0.510583319
158,10,5058,505805,50580539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.525,40.421,178.054,68.546,19.872,29.917,39.093,128.444,27.987,52.029,8.273,133.67,53.396,103.58,2,13.51543,10.70956,12.93734,8.16805,9.15605,7.41866,5.90622,9.08085,8.52147,1,1.957320822,0.855017095,1.062742058,-0.575784029,-0.315828402,-1.518798238,-1.403910583,0.460788394,0.007883725
158,11,5058,505805,50580540,1,1,0,1,1,1,1,1,1,1,1,1,1,1,9.3,28.889,85.439,41.629,26.963,27.668,13.716,30.793,17.811,41.666,39.685,35.854,78.617,51.963,2,11.48712,10.70956,12.93734,11.42832,10.38389,5.56633,11.12082,10.34734,10.1686,1,0.695589213,0.855017095,1.062742058,1.212609039,0.304685954,-2.417026885,0.849469279,1.143963628,0.8325636
158,10,5059,505904,50590407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,123.002,69.749,357.559,73.943,78.222,51.797,30.122,46.228,124.058,83.065,77.418,115.686,88.879,198.452,1,9.64761,10.70956,10.41803,9.31385,10.92487,12.25252,11.75008,9.35676,8.52147,0,-0.448697366,0.855017095,-0.318178245,0.052734706,0.578081393,0.825228759,1.121390771,0.609620899,0.007883725
158,11,5059,505904,50590408,0,1,1,1,1,1,1,1,1,0,1,1,1,1,22.007,65.317,253.65,39.121,32.12,57.173,22.965,36.624,30.44,80.2,48.786,36.147,45.087,137.946,1,8.3581,8.89725,11.18784,9.31385,10.38389,12.25252,7.97991,8.34615,8.52147,0,-1.25085065,-0.200345413,0.103781045,0.052734706,0.304685954,0.825228759,-0.507809006,0.064473505,0.007883725
